,M1,M2,M3,M4,M5
Sampling1,0.25,0.0,0.0,0.0,0.25
Sampling2,1.0,0.9313725490196079,0.9607843137254902,0.9934640522875817,0.9640522875816994
Sampling3,0.9901960784313726,0.9313725490196079,0.9673202614379085,0.9803921568627451,0.9444444444444444
Sampling4,0.9934640522875817,0.9281045751633987,0.9705882352941176,0.9869281045751634,0.954248366013072
Sampling5,0.75,1.0,1.0,0.75,1.0
