,M1,M2,M3,M4,M5
Sampling1,0.0,0.0,0.0,0.0,0.0
Sampling2,1.0,0.9117647058823529,0.7843137254901961,0.9967320261437909,0.9869281045751634
Sampling3,0.9934640522875817,0.9084967320261438,0.696078431372549,0.9771241830065359,0.8529411764705882
Sampling4,0.9934640522875817,0.9183006535947712,0.7124183006535948,0.9901960784313726,0.9052287581699346
Sampling5,0.0,0.25,0.0,0.0,1.0
